epoch,loss,val_loss
0,0.2051730453968048,0.12134101986885071
1,0.09482888132333755,0.07893527299165726
2,0.06759445369243622,0.05909312888979912
3,0.053029149770736694,0.04684453457593918
4,0.04315045475959778,0.04232674837112427
5,0.036567505449056625,0.03375949710607529
6,0.03226563334465027,0.03014960139989853
7,0.02930576354265213,0.02894006110727787
8,0.02630016766488552,0.024258609861135483
9,0.024873385205864906,0.02246668189764023
10,0.022341396659612656,0.021617552265524864
11,0.021291516721248627,0.02087416872382164
12,0.02080008015036583,0.02074889838695526
13,0.02003622055053711,0.019798191264271736
14,0.019400933757424355,0.01867135986685753
15,0.01847473531961441,0.018019089475274086
16,0.017964333295822144,0.017415829002857208
17,0.017485857009887695,0.018008524551987648
18,0.017287448048591614,0.017001153901219368
19,0.016336552798748016,0.015584209933876991
20,0.016118453815579414,0.016172122210264206
21,0.015578455291688442,0.01578306220471859
22,0.015306410379707813,0.017086179926991463
23,0.015546298585832119,0.015608315356075764
24,0.014788758009672165,0.014174137264490128
25,0.014742455445230007,0.014235529117286205
26,0.014257235452532768,0.016453120857477188
27,0.014181595295667648,0.015004543587565422
28,0.013950863853096962,0.014583472162485123
29,0.014211543835699558,0.01342845894396305
30,0.013750173151493073,0.014554748311638832
31,0.01345257181674242,0.014507818035781384
